tweet,country,state,city,street,geolocation_type,lat,lon
"Me on Tariq Ali's new book on Winston Churchill. As it happens @hrc_ANU used to be in Old Canberra House so when I was doing my PhD I would walk past the Churchill statue every day, usually en route to Fellows Bar. https://t.co/88jFp8mHuB",Australia,,Canberra,,explicit,-35.2975906,149.1012676
"🚨Game Day🚨
🏀Reapers (7-6) 🆚 Sandwich (1-14)
🗓️January 10th, 2022
🕖Sophs 5:30 / Varsity 7:00pm
📍Plano High School",USA,Illinois,Plano,,explicit,41.662877,-88.5366814
"More details on the downtown Cedar Rapids shooting from @AftonEmily @gazettedotcom

-No arrests yet. Suspects believed to be two adult males
-Shooting was “targeted”
-Taboo did not have private security last night as the club does for some events https://t.co/tzNiH0Ai2c",USA,Iowa,Cedar Rapids,,explicit,41.9758872,-91.6704053
"Just posted a photo @ London, United Kingdom https://t.co/IE1oacH9VS",United Kingdom,,London,,explicit,51.4893335,-0.1440550845276872
"Fire crews are still making their way to the fire which is in a remote area and additional aircraft has been ordered for the approximate 5 acre grassfire, per the Oregon Department of Forestry 🔥 https://t.co/MyDY4MdeD7",USA,Oregon,,,explicit,43.9792797,-120.737257
"We’re having an awesome time in Bay City for the #Januaryfreeze hockey tournament. My dad got to see Ronnie play hockey for the first time. The little man delivered with a goal, and a 5-3 win. https://t.co/iZQyUl0SBx",USA,Michigan,Bay City,,explicit,43.5944677,-83.8888648
The anti-vax protesters outside Queensland Parliament are so loud that you can hear them from inside the building while watching the parliament livestream.,Australia,Queensland,,,explicit,-22.1646782,144.5844903
#Fallas2022 🔥🔥 Arde #Valencia #StarWars #LaGuerraDeLasGalaxias https://t.co/1GCZ3pXQxW,Spain,,Valencia,,explicit,39.4697065,-0.3763353
https://t.co/ajQSFkVwTF returns to the Revelstoke Performing Arts Centre this fall.  Check out our website for event info and tickets!! https://t.co/EorbEL13ZJ,Canada,British Columbia,Revelstoke,,explicit,50.998045,-118.1956709
Game time!  Omaha Gross at Beatrice. #nebpreps https://t.co/ajXyIy50jv,United States,Nebraska,Beatrice,,explicit,40.266429,-96.747369
Las Vegas Aces rally info story: https://t.co/QyHy6HO0Ry #WNBA @LVAces https://t.co/o5ghe8fj3R,United States,Nevada,Las Vegas,,explicit,36.1672559,-115.148516
Incredible sportsmanship is alive and well at this @SeamanSchools middle school track meet! Turn the volume up and watch this @Ottawa290 @ottawa_middle student who may have just set a new school record with a 5’10” high jump and how they all cheer @KSHSAA https://t.co/idIqMTRXMW,United States,Kansas,Ottawa,,explicit,39.1273653,-97.6568094
Watch live Atlanta Hartsfield-Jackson Airport with ATC on https://t.co/EGLYUwihTE https://t.co/fiCXL3NVSV,United States,Georgia,Atlanta,,explicit,33.7489924,-84.3902644
"Massachusetts - 'The State of Our State' - Saturday, April 16, 2022 https://t.co/MH0Dbwxb3J",United States,Massachusetts,,,explicit,42.3788774,-72.032366
"Boston is absolutely shook right now. They need their best player to step up & calm them down, as superstars (or alleged superstars) are supposed to do.",United States,Massachusetts,Boston,,explicit,42.3554334,-71.060511
"I just watched BBC Zamfara state's bandit documentary and I am so worried Let excuse Buhari for a minute what is the exact purpose of the Governors, senators of this States What do they do in particular everything shouldn't be Buhari",Nigeria,Zamfara,,,explicit,12.0078998,6.4191432
POV: the last thing a Chinese soldier sees before accidentally crossing into India https://t.co/NePqc2e6bL,India,,,,explicit,22.3511148,78.6677428
